Review_Text,Sentiment
"Front Office staff welcoming and helpful at every turn. Overall a comfortable stay. Rooms are small, but more than adequate for a single person.",3
Nice and comfortable and ideal for my activities,3
"The physical facilities are quite nice - large clean room, comfortable lobby - but little things detract. The safe malfunctioned the day before I left, the WiFi bandwidth was overly maxed out during evenings making email impossible, the fitness room was a joke.",2
The location was perfect.,3
Good,3
"Check in took more then 45 mins, all the 4 pillows in the room where of different sizes, dirty and stained curtains, no phone next to bed and you have to walk to the study table, slow room service, poor understanding of how international bookings work, do not accept discover cards,",1
Room was very clean and well maintained.. breakfast was extraordinary..,3
"My stay in The Park was a very pleasant one. The front desk staffs were very friendly,helpful and warm. They arranged even a cradle for my 2 month old baby. The room was well maintained and the complimentary breakfast had a wide spread. Overall the experience was a pleasant one.",3
"This property is a bit old. Bath tub, toilets are old and had stains. White towels were provided, but even they had stains and dirty.",1
"The hotel rooms are quite old and are not maintained. The chair cushion was torn. Shower curtains, window curtains and even the phone had a musty smell. Wait at the reception was too long. 
Breakfast was decent. Location is very good for US visa applicants.",1
Wifi needs to improve,3
This place is probably better for business travelers but its definitely cramped for families. The bathrooms were very small and i felt I like was in a plane toilet. The location is outstanding though and accessible to almost everything in mainland chennai.,2
They have a good lobby and good place to eat. Everything else comes no way near the 5 star hotel that they claim to be. Rooms are just about 3 star hotel level. Was just disappointed. thankfully had booked here only for a day.,1
"Need to improve cleanness

Need to improve customer careness

Employee at resturent are should care enough all the customers",2
Need maintaince there was smell in the room. Breakfast was good.,2
As soon as we entered the room our first thought was not to touch anything as it was very dirty. room was worse then a cheap motel room and you wouldn't want to get close to the bed. This is definitely not a 5* hotel as mentioned on Expedia. Its close to US consulate but with rooms so bad I would rather travel a few minutes then stay here.,1
"The hotel is well located in central chennai. Its easy to find places to go out in the evneing after work, or for shopping at the two big malls nearby. They have a nice pool on the 8th floor and several bars in the hotel.",3
Nobody attends phone. Rooms are very old & small. Very small outdated tv,1
"While the location, room, facilities are good. There is lot to be improved on service levels especially at the time of check-in and checkout. The staff at the reception counter possibly are not trained well or there is too much of attrition of trained staff. Wait for checkin/checkout is too long and not acceptable from a star category hotel.",3
Great location. But this hotel is not worth the price they charge. Terrible room layouts. Staff is slow and not trained properly. Guest services will not pick up phone. Had to call 4-5 times before they pick up. Spent lot of time to handle requests put on reservation at time of booking.,1
The hotel night club DJ is good and good place for party goers yyy66,3
Cleanliness at restroom and corridors and pathways could have been better. There is no hot water in the morning time before 8am. Hot water problem was there on both the days of stay. Couple of lights were not working.,3
"Room was spacious. Maintenance is bad with cracked walls, water seepage. The hotel management needs to spruce it up. Not value for money. Location is great though. Very centrally located and in the heart of the city.",3
"If they can accommodate the check-in with your arrival time it will be good. We had to wait for 3hours after reaching the hotel to get the room, though it was booked 1month in advance. Location is very good. Hotel staff are very helpful.",3
This hotel was at perfect location near US consulate. Hotel was very beautiful and well maintained. Was filled with mostly people who have came for visa interview. Staff also was very helpful and cooperative.,3
"Pros: Centrally located - close to the us embassy, food at hotel 601 was good, friendly staff, decent gym and swimming pool. Cons: Poor rooms/worn out floors, over prized, long waits for checking out.",2
Enjoyed my stay. Very pleasant service. My stay included buffet breakfast which was excellent. The location is very close to the US consulate which is a big advantage. There are lots of eating options within a few miles radius. Will recommend luxury rooms.,3
Need inspiration? Check out other reviews for The Park Chennai written by travellers like you or read some tips on writing great reviews. Need inspiration?,3
"I made a booking for my guests, my guests were not allowed to stay in spite of a booking and payment being made online, my guests were made to wait at the lobby nearly 5 hours. Finally, I gave my ID proofs to accommodate them and yet it was not accepted and had to find a alternate solution in other hotel. Not a customer friendly hotel.",2
"It was very nice to stay in the park hotel with all the well equipped and its clean, I am happy to stay in future.. Its in right location for us to stay and hotel reception staff and service team are very polite and professional, I have not used much facilities which are available but next time I will try to use more.",3
"The rooms renovated are also leaking, Water seepage is there in the walls. Very bad maintenance. This hotel is good for pubbing only. Mattress very soft and you get back pain. High time they replace the mattress.. Renovation is a must at this stage. Always hot water problem is there and taps are leaky. Health faucet must in the toilets.",3
"Overall a good place to stay. Food was good. Rooms were clean and have enough space. Best place for visa interview as the place is right opposite and in case you forgot something for visa, you can get it quickly from room.",3
"Except for being in the heart of city the hotel has nothing to boast of. Food tasted awful so much so, that we almost ate with pickle as a side dish. Breakfast room is poorly lit is enough to make your morning dull. Rooms unkempt and falling apart.",1
"Hotel rooms are to be repaired in the bathrooms. As walls are to repainted. Outside windows are not clean, birds made dirty on that. But inside rooms are clean and well maintained AC Services are good.",3
"Bathroom dirty , room dirty bedsheets not changed only positive thing is the buffet breakfast",1
Hotel staff are not co-ordinating well for the room service and Billing payment.,1
I am not sure why someone wants to spend that kind of money to be disappointed.,1
"This is an ideal hotel to stay in - clean, friendly, good wholesome food and excellent value for money for a discerning customer. The staff are pleasant and helpful in all areas - reception, dining, housekeeping and concierge services. Try it and return again.",3
Good,3
Dinner buffet was not too pricey and food was amazing! The only downside during my stay was the discoloration of water in the bathroom sink.,2
"Great service, clean room and nice ambiance. I stayed with my family and we had a good time. I would recommend not just for business stays but also for families.",3
"Great staff, Good location, good food. Cleanliness need to get improved, every thing else is good",3
"Excellent experience, clean room, friendly and courteous staff. Good restaurants in the hotel, nice food.",3
Very helpful staff and you are really taken care about things that you need.,3
"Room service poor. Service took time. Also the tray was not cleared.
Dissapointed with that.
Location of hotel is good.
Buffet dinner and breakfast was good.
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this.",3
"It was great. Food is expensive, but good. Taxes are high. And the hotel car to the airport was $25.00 plus taxes; that was expensive; I could probably gotten my own taxis for $10.00-15.00. 
Great place and excellent service.",3
Excellent hotel with great staff. Would greatly recommend.,3
"Hotel room is great, and the staff are very helpful. Located on Anna Salai, So forget taking a walk to get to nearby places. Add ons like lunch/dinner buffet costs too much- but this is expected. One thing I did not like is the presence of too many staffs and the 'vanakkam' they perform at the front door-I did not need that every time I come in- just a smile would have been enough. But the hotel as such no complaints.",3
This was my second visit. Enjoyed our stay very much. Will definitely stay at The Raintree when I am Chennai next.,3
The hotel location is good... but the beds are very bad and old. The shower room was not all clean.,2
Very good experience. All very attentive staff and very good location,3
"Facilities: Top of the line; Value: Fantastic; Service: Outstanding; Cleanliness: Immaculate; 
the perfect base for any visitor to Chennai - I'll be back",3
The service could improve. A lot of time taken for room service.,3
"While we appreciate the staff & service, the bathroom taps, dustbins, cleaning of WC, ventilation in the room (windows are permanently closed) need your attention. Please check and make it right. We really had to adjust.",2
Good service and fairly comfortable stay,3
"Rooms need a make over.
kettle is old & not in good condition.
Not upto Lemon Tree standard",2
"Good hotel and room. Not too far from the airport - about 15 mins. Helpful staff, restaurant maybe overpriced but not bad. Bed was comfortable and clean. Free WiFi wasn't really good. Overall quite satisfied.",3
dated - router is outside in the front - rooms in the back has poor to no internet - food is sub standard - age and heavy usage is taking toll - needs major renovation to keep up with US chains.,1
"We asked for a non smoking room but we did not get one and the AC was not working.. otherwise good location, clean beds and towels ...",2
Excellent in terms of hygienic and cleanliness. Enjoyed stay. However food prices are comparatively in higher side. Co-operative staff. Best in class. Would like to stay again. Thanks to Leman Tree staff.,3
Hotel is good. But food cost is too high,3
"The hotel staff is very friendly and helpful. Rooms are well maintained and clean. The hotel is close by to the airport hence it is very easy accessible. Breakfast, lunch and dinner quality is just too good.",3
Good and enjoyed the stay. Good food. Neat and good room service. Location of the hotel also very good. Near airport and Railway station and IT companies. Sure I will again visit your hotel. Too good for family stay too.,3
"Compared to other lemon tree stay, this was bit disappointing compared to the room comfortability.",3
Very very very very very poor Service. Very very very very very poor Air Conditioning. Very very very very very poor Service. Very very very very very poor Conditioning.,3
The size of the bed is so small that a single person is uncomfortable to sleep. They sell the same bed on double occupancy. Difficult to imagine how two persons can fit on the bed. Washrooms are so small. One can barely move around. Breakfast truly is free. Not complimentary. Food was absolutely not having any taste. Totally waste of money and uncomfortable night.,2
"Room allotted is small. Single bed in the room. Buffet dinner spread not upto the mark. Quality of food not upto the mark. Breakfast quality need to improve more. Spread of fruits not liked. Need to improve. Moreover, cost of buffet dinner does not match with quality and spread.",3
The room size is small & not as big as you see in photos. The service was good overall. The quality of food at the Bar & restaurant was not that great & they could improve the quality of food & also even reduce the rates.,3
No doubt hotel is located in quiet prime location for business travellers but I don't think it is value for money given the room size. The staff is pleasant to deal with. Food variety is also average. They should have facilities like spa for business travellers also who wish to relax after a long day.,3
The overall experience was good in the hotel. The hotel was located near to the airport. The behaviour of the hotel staff was good in the hotel. The food and drinks were available in the hotel was very good. The activities were not available in the hotel. Wi-Fi service was available in the hotel.,3
Everything that you need was in place.. There was no need to call for any Services. Food quality is also equally good. The location is also convenient for air as well as rail. The reception staff is also very cooperative.,3
"Very clean, value for money. Prompt service. Beautiful aroma. Only problem is view, which is comprise able. The buffet dinner was asko good. We were even provided with take away breakfast at 4:30 in the morning.",3
"Cleanliness and hospitality was excellent. The complimentary breakfast was good. The only room facility which was not up to the mark was internet, too slow. I stayed as single but rooms would surely can accommodate a family. Worth for the money I paid so would surely recommend for a short stay.",3
"The first thing is, it's too costly for a small room. I am not satisfied with your time schedule for. This type of feedback format is somewhat not good for us. And I'm sorry for late reply.",3
"This is actually a 3 star hotel, and in India there are 7 stars, and so a four star rating in Expedia is very misleading. The hotel is not very clean, but for a 2-3 star hotel it is ok if that is what you are expecting, the prices were way too high for that level of quality. I moved to the Hilton, and was very satisfied.",2
Nice experience... Some people i think some workers were shouting outside my room door which was disturbing,3
"All boxes ticked for a Business Traveller. Clean Room, Clean Toilets, Decent Break Fast Spread.",3
Nice stay..very good service...especially the person named mr. dinesh who is in reception assisted me a lot.such a good person in the hotel..he assisted me till the period of vacate..very good person..,3
We really enjoyed the pool and the food as well. Well cleaned. Definitely recommend to any one,3
"Stay somewhere else, This hotel is right on the flight path to the airport, and is adjacent to the main road where lorry drivers use the horn more than the brake",2
We stayed at the Park Hyatt for a week primarily to attend a family wedding which was being held there. The hotel and the service were very first class but unfortunately the area where it is located is not good. The rooftop pool is very pleasant. Food and drink in the hotel is very expensive and the bar area which is not open until 4pm is very noisy with disco type music on at full volume. Nowhere to sit and have a quiet drink.,3
Staff have been very helpful to help me avoid Channai pitfalls and support me while lost in translation.,3
"Moved to this hotel after a terrible night at another. This hotel is amazing. The service is top notch. The decor, especially if you are in the garment industry is stunning. Food is great. Can't say enough good things.",3
Quick efficient friendly check in. Overall great hotel in Chennai. Will stay again.,3
Nothing to complain,3
was good . letting my guest with ease next time would be appreciated . was good . letting my guest with ease next time would be appreciated,3
"First time stay. Loved it. Everyone was super polite, helpful, nice.
One needs to check the final bill as there can be errors.",3
"It was a pleasant stay, Excellent experience, great ambience, very courteous staff and the hotel caters customers needs round the clock. Rooms were too good, Will ensure to stay again in future and recommend to all my friends. Keep up the good work Thank you Hyatt certainly very good value for money. Kudos!",3
Overall ambience of the hotel is very good. In room facilities need to improve & there is a need for providing services as per customer booking. 3 people in same room has been provided with 2 persons facility whereas the charges remains for 3 people.,3
Park Hyatt really lived to the hype. The best part of this hotel is the bathroom and roof top swimming pool which gives you a great view of Chennai. Their flagship pub Flying Elephants is really happening on the weekends and as a staying guess you get a free entry to one of the most exciting pubs. The service and ambience of this hotel was top notch and unparalleled.,3
My experience of the hotel was very nice. The transportation facility was not provided by the hotel. The activities were available at the hotel. I would recommend this hotel for upcoming travellers.,3
"Very good service, very clean, great food and nice gym. 15% less in price would help my pocket..",3
GOOD.....................................................................................................................................................................................................................................................................,3
"This is a very good hotel with modern looks and excellent service. Staff is quite friendly and food is good. Staff feels happy assisting you for almost anything. Everybody treats guest like they are someone special. Rooms are quite spacious, clean and equipped with all amenities which are needed.",3
I had visited this hotel with my family. The food quality was good. The service at the hotel was nice. The check in and checkout was on time. The complimentary food was provided at the hotel. The restaurant was available at the hotel. The varieties of food were provided at the hotel. I don’t have any suggestion for this hotel. I would recommend this hotel for other travellers.,3
nice place good staff i can feel the quality of money food is also good but little far from city i feel house keeping also good,3
"As soon as I checked-in, I found pungent smell in the room. Even after informing customer service desk, it took them quite long time to allocate new room and that to after multiple follow ups. Moreover, the food served at room was not good. It looked that it was not prepared by chef.",2
"Great ambience, good staff, wonderful food, big rooms. Accessibility to Airport, nice location and all at reasonable price. Mine was a short but comfortable stay. Overall, 5 star stay. Recommended for future stay in Chennai.",3
We stayed between Xmas and New Year 2015 for 3 nights in this wonderful hotel.The location is absolutely brilliant being only 300 yards from the town Square. We were lucky to get a 'free' room up grade to one of the superb loft conversion - two level room with the four poster beds -Nice ! . All the staff were very helpful. The breakfasts were good,3
It was a bright Sunday and myself with my family decided to check-in Park Hyatt in Guindy and as we expected it was the experience to cherish. It gave the absolute delight of being in the star hotel and the food quality was splendid. The service was also upto the mark of a five star hotel. Summing up all it made it crisp experience on Sunday morning.,3
There is no business centre. One doesn't expect a hotel of 4.5 star not to have a business centre.,3
Excellent value for quality and service. Can't go wrong. Breakfast is top notch with Indian and continental options. Decor is subdued but stylish. Good for business or pleasure. Gym has modern equipment with an infinity pool. No problem with free wifi. Better deal than Leela Palace. Family was very happy and thought the hotel was on target.,3
"Excellent room and exercise facility. All around atmosphere was calm and comfortable. Main dining room offers both excellent food and service. Avoid Flying Elephant restaurant, stick to the main dining room.",3
comfortable. not needed.bkhkhjuoipoioioi hkhghkhkhkjh ghjggjhghggg,3
The outside look and feel very good. They have a reasonably good restaurant,2
"Very clean!
Great Service!",3
Very nice hotel. Good location. However the sad part is that the 24 hours check in/ check out policy is not applicable for booking made on hotels.com . They said it is only valid when you book directly with the hotel.,3
The majority of staff at the reception and in the dinning hall were excellent and welcoming.,3
good,3
I saw a much better upkeep of the facility two years back,2
"There was no confirmation of my booking as per their record.
I had to wait for 30 minutes",2
"The room is clean, international standards, option of turning on ceiling lights if you prefer brighter otherwise is warm and cosy.

Toilet small but funtional and water pressure good (16th floor room).",3
We had great experience in staying here. Check in and check out process was smooth and easy. Decent food options were available at the hotel. Staff were responsive and quick for any requests. Roof top restaurant and view of the city is one not to be missed.,3
Reception on arrival and at the restaurant is Excellent. Check-in and Check-out formalities were handled efficiently. Room is big in size. Ambience is excellent. Food quality at restaurant is good. Service representatives in restaurant took care so nicely - my special appreciation to them. The location of the hotel and the surrounding ambience are pleasant.,3
Decent hotel but buffet was not up to expectation. You can have better lunch or breakfast for that money,3
Really enjoyed the buffet food with it's wide variety,3
EXCELLENT***************************************************************************************************************************************************************************************************************************************************************,3
It was a good experience. We had a very wonderful time there. The service was excellent. They provide the best service. Thank you for such a wonderful experience. Keep up the good work and maintain the hotel as it is.,3
"24 hrs check-in is the best part about this hotel. Service is great, Staff is helpful and friendly, food is good and excellent location. I always enjoy my stay here. However the Gym should be improved. More space is needed and equipment requires major upgrade.",3
Good hotel and nice location. Staff is very supportive and took great care. The pub is nice and ambience is awesome. I would strongly suggest this hotel for any business traveller. It is situated in the heart of city and in main market area.,3
"Great location, very close to city center and markets. Staff is very helpful and service is great. We had some special requests and they helped us with all of them. Enjoyed our stay. Would recommend to others.",3
I will definitely stay this hotel on my next visit to Chennai. Very good ambience. Shopping centres nearby. Facilities are excellent Staff is also good and supportive,3
It has extremely great ambience and the rooms are good. Liked the experience. The buffet was costly however the food is good. The swimming pool was great and the gym facility was good. I enjoyed playing in the pool and the cleanliness of the pool was appreciable. Overall rating : 4. 5/5.,3
Nice hotel with very good ambience. Nice reception and overall design. All locations are designed to feel good and spacious. People are very soft and gentle and skilled to serve all kind of guest including foreigners.,3
The hotel reception staff are very bad. Even the other services in the hotel is same only. I ordered fish fry but got very bad smelling really totally damaged one. Breakfast is also not up to the mark.,1
Very homely and safe environment. Breakfast excellent. The check in and check out was very simple. We called and asked for a late check-in and check out which was honoured. The hotel is centrally located in the heart of the shopping centre. The hotel was very safe as we were traveling single.,3
"Centrally located. Great food and rooms. Reasonably priced. Hotel has one of the very good pub, though the food quality was OK. Little disappointed with food at ""Southern Aroma"", my most favourite restaurant. Overall experience was great.",3
Complimentary breakfast was given by the hotel. The hotel was good. There was no delay in check in and checkout at the hotel. I was satisfied with this hotel stay. I didn’t use activity in the hotel.,2
Friendly and helpful staff. Nice food. Clean rooms. Really enjoyed our stay. We stayed at this hotel 3 times before. We go again.,3
"Excellent hotel. Great value for money. Great staff. I stayed for 2 nights, and hence was initially offered complimentary breakfast for 2 days only. I checked out the third day, after breakfast hours. Hence they were gracious enough to offer free breakfast for my family of 3 (which runs about US$ 25) for free.",3
Pictures are the service does not match ..,1
nice stay for my first night after arrival to India,2
"The place is neat, rooms are adequate with all amenities, bedsheets are clean. Wifi connection is good. The place is walkable distance from T. Nagar which is a shopping area. Buffet breakfast at a restaurant downstairs is really good and serve wide variety. Staff is friendly and helpful, they assisted us whenever we needed. Overall happy with the stay!",3
"A nice comfortable stay in heart of the city ,which also very affordable compared to others nearby",3
I was stayed for official purpose ..It was located in the main city and very easy to locate and room appearence needs to improve . The Room has more sapce and is good to be there. Cleanliness was maintained .. Overall experience in service needs to improve.....,3
I have stayed there on a business visit. The first thing is the location of the apartments. It is in the heart of the city. (T. Nagar). Very easy booking procedure. Only thing about the morning complimentary breakfast quality is not enough. They can improve it. Overall very nice to stay.,3
"It was good staying there, the welcoming was good, maintenance was comfortable, breakfast can be added on with any hot drinks with it. People were good, cleanliness was maintained, service for any calls was good to fill up water bottles. Can have some more comfortable zones like games, added environment to like the place more. Just not to the see it as room alone, if it would be a more comfortable, the stay would be really memorable.",2
"Good hotel, I visited for official purpose. Service is average and room size that I got is small and very congested, may be other rooms are big as I am not sure. But economically the hotel is good which you stay with your family with less average charges. Food is below average which you will get only complimentary breakfast which is too bad. Otherwise hotel is good.",2
"I have stayed 2 days on 30th and 31st March 2014 for Nestle company meeting. Service was good and the 3 rooms attached with a big hall that was not seen in any hotel really different. If a family stay they will feel like home. Need to improve in food quality and quantity, overall experience was very good.",3
"The hotel is located at a very strategic place from where all the things are very nearby and one would not face any challenge. Its not a very big hotel, however the staff is cooperative and we had to manage the food from outside mostly. Overall it was a very good location with average experience.",2
"Business trip for two days, very nice hotel, location is good, close to us consulate, close to market place, Railway Station and Airport. Neat and clean, nice food, nice restaurant. Friendly staff with quality service. Enjoyed the stay.",3
"Blossom serviced apartment are a fully furnished apartment in Chennai that serves with excellent amenities and great customer care. This serviced apartment are a boon and more economically viable alternative to a hotel rooms. it has more space , convenience factor and great privacy level especially for family members and children .",1
"Location is very good near T.Nagar, the best market area. We passed leisure time to stroll the market. Breakfast was free in the restaurant in the ground floor. The persons in the reception were well behaved and sober.",3
The hotel was the best I had stayed in in India so far but a few issues annoyed me. The control panel for certain items in the room as in the air conditioner and the hot water heater so I had a few cold showers and a hot night.,3
"Feeling very good and nice place, if we travel next time we want to book same the hotel. Hotel staff is very nice, they are co operative",3
"Iam a frequent traveller all over India. After a long time I stayed in a v. Good hotel. 1st time I give 5 stars for hotels in India. So clean room, toilets, bed. Excellent staff. Thanks & continue good.",3
Overall good to stay. Facilities and room are good. People are very cooperative. The facilities mentioned at the time of booking was said all provided. The room is very clean. Breakfast and room service are very good.,3
"Good ambiance, clean rooms, staff is cooperative, except that the location is some 500 meters away from main road, superb service. Did not try the food as better options were available near by. Only problem is its location, otherwise value for money.",3
The hotel is decent and good enough for 1 or 2 nights with family or friends. > Overall Simply Good. The MD is good and the staff is also good. > Location is a bit crowd and narrow roads. Cannot park vehicle outside the gate entrance. Should park vehicle inside and there is parking place also. > Near to Malls and restaurants.,3
It was good enough and value to the money. Very near to Marina Beach. Services are good and food is okay.,3
Hotel Peace Park Inn very good hotel for stay with family. This location is not good but hotel rooms & services are very good. Hotel reception is very good. Food is average. I like this hotel.,3
Average. Hotel location not as per address given. Difficult to track hotel addres,2
"Very cramped access road, impropper information on phone",1
"I had been here for my brother admission. Hotel is very clean. Rooms are good bigger and AC works well. A great value for money. Food is awesome. Room service is also good. Check-in and checkout was done without any delay. Thanks to staff for so much of cooperation. Whatever pictures of hotel and rooms are there on their website, you will get the same thing in real.",3
"I had visited here for an business tour. Had an nice experience. Room could have been bigger, anyway room was clean and neat. Location of Hotel is quite difficult to find. Food was also good. But Parking place is quite not safe. Budget friendly hotel. Hope I will visit again.",3
"Spent two nights in this Hotel in September, 2014. The room was clean and tidy, clean bathroom and aircon worked. Staff at this hotel were very helpful and the driver they arranged for a day trip was excellent. A nice cool clean haven to come back to after tramping around the streets of Chennai.",2
"I arrived late at night from Thailand looking forward to a drink at the bar only to be told that it is a Muslim hotel and alcohol is strictly forbidden. Other than that disappointment it was very clean good staff and good value. Probably a hotel that not too many westerners stay at, but good location.",3
Never came across any issues in this hotel. simply best...,3
"We stayed there for 2 days and I have to say, I am impressed. The locality was not so good, but the rooms were pretty neat, I have to admit. The hotel provides Wi-Fi facility for its customers to be connected at all times. Their reception of customers was really great and they even gave us rebate of 700/- INR. It's pretty close to the airport, so it’s a good choice for anyone.",3
Hotel is in the mid of city & located near by Marina beach but very conjuncted space in front of hotel. Food is not so good for North Indian people staff is good & room service is ok hotel is good for middle class people only no space for parking.,2
"We stayed there for US Visa appointments and it was the best choice I think we made. Apart from the shabby ways, everything else was perfect. It is little inside, close to US consulate offices and marina beach. Hotel staffs were too good and helping. Overall, four out of five.",3
"nice and clean, and though the neighbourhood seems somewhat dodgy, it's near to the beach and the main streets (with the awesome ananda bhawan restaurant just a few mins' walk away).",3
okay to stay for one day.Approach is not good but once you are in hotel it doesnt matter.,2
"Ok, not bad.",2
"I visited Chennai in the summer of 2014. This hotel is nice! It has high speed fans, A/C, & a useable bathroom. My room was clean! Considering the price & location, this was a pleasant stay. The rooftop restaurant provides a kind service and tasty food! For mosquitoes, I suggest using repellant anywhere you go.",3
"Breakfast spread was good. Staff very good,helpful. Over all a comfortable stay.",3
"The hotel is average. Good service but rooms looking a bit worn and old fashioned. Not many places to relax and coffee shop not comfortable.
Food OK but not special for this level of hotel.",3
"Excellent food at the Hotel, plus reasonably priced.
All staff were very friendly.",3
Excellent food especially breakfast buffet and supportive in arranging local transportation,3
"I was traveling with my colleague from Italy, I found very average..the staff was good but I did not like the hotel it seems to be very old hotel had lots of mosquitos in the room. Very old furniture with old ihome system which is not compatible with the current iPhones and iPad. I expected more out of Radisson ..was not my best experience.",2
Main benefits of this hotel is proximity to the airport given the extremely heavy traffic in the mornings. Otherwise the hotel is not up to Radisson standards and the rooms are small and cluttered.,2
It felt like 4 ⭐️ Shabby. Very convenient to the airport.,2
"The hotel was kind enough to decorate the room for our night from wedding, the rooms looked great..",3
extremely good breakfast & lunch buffets with very helpful staff,3
Rooms were of a very high standard and although we arrived about 9.30 our room was ready for us. Staff were very helpful.,3
If work near airport then the best to be in. Very warm in service the good food make it more comfortable. The live music is amazing. The bodhi spa is just a name to sink in a relax mode. The most courteous staff.,3
Great place to relax after 17-hour flight to Chennai.,3
"Excellent property with very good staff, at all the places starting from the driver to the manager at the hotel. Really impressed with the ambience and the hospitality. The hotel is ideally located near the airport.",3
Great service and stay experience. Staff are always ready to provide service to fulfill the guest needs. Nice bar and buffet at the restaurant in the ground floor. Great hotel for business stay or for holiday. Easy to get around the hotel and also to get transport to get around the city.,3
Excellent experience starting from the pickup at Airport to drop at Airport. Pre allotted room with precomputed registration and handing over of keys and other information in the car itself giving excellent feel. Nice spread of menu for breakfast and dinner. Well made rooms and other services.,3
Superb hotel. Their hospitality was superb and all marks to them. The breakfast was superb. All was good. The airport pick and drop was excellent. Nothing wrong there. One touch service was excellent. The only weaker part was the room were old fashioned. They need to renovate it. Not really wrong with the room but the modern room this days are excellent. Worth the money.,3
